frame	x [nm]	y [nm]	z [nm]	uncertainty_xy	uncertainty_z	segment
1	441.0547550231553	-22.028644321128425	-896.3258035402828	2.1	2.1	sagittal
1	449.8720116979503	-11.673497345334814	-851.9992636927877	2.1	2.1	sagittal
1	424.2122418719336	-6.518976484224969	-877.8940105522375	2.1	2.1	sagittal
1	437.4697547486965	-13.780553890850168	-878.504443356919	2.1	2.1	sagittal
1	421.8864350688324	-5.514866401436976	-853.7051377689126	2.1	2.1	sagittal
1	413.7222992901784	-4.138897685745627	-839.3012030101154	2.1	2.1	sagittal
1	409.5423327705551	-7.607730751326072	-840.042731734078	2.1	2.1	sagittal
1	418.2117535523775	-4.9137251240242925	-825.9555445422	2.1	2.1	sagittal
1	401.31732258304567	-5.994202298615605	-825.1215307236833	2.1	2.1	sagittal
1	400.7670487452481	16.52324245146951	-803.6093645903454	2.1	2.1	sagittal
1	413.8464712636577	0.33252748647984665	-817.5712320119467	2.1	2.1	sagittal
1	409.34474569708556	12.508200058615774	-806.0122906902163	2.1	2.1	sagittal
1	367.598195130752	9.925207908713059	-784.1450045225646	2.1	2.1	sagittal
1	365.18558905118056	0.8498093748315529	-785.9135888219281	2.1	2.1	sagittal
1	360.6291907130619	0.9273655572927986	-772.3566989599271	2.1	2.1	sagittal
1	368.8444079472291	8.516484506515988	-768.7495264509648	2.1	2.1	sagittal
1	360.95585302984927	19.372117689742986	-751.5830352491461	2.1	2.1	sagittal
1	357.7630318575892	23.496100290341495	-734.2129066519161	2.1	2.1	sagittal
1	365.304835880636	23.63591317660586	-745.8397971807173	2.1	2.1	sagittal
1	338.4656733841939	9.483820676323013	-732.1635119983652	2.1	2.1	sagittal
1	353.4834970149893	21.970778638341475	-714.6970679043566	2.1	2.1	sagittal
1	320.74568028117426	21.911783998561376	-732.7596860610469	2.1	2.1	sagittal
1	329.37905032094716	17.576986346832808	-687.1008628360307	2.1	2.1	sagittal
1	310.4352709550077	36.18506323075561	-708.0749412971979	2.1	2.1	sagittal
1	309.83880923502136	29.639227157946536	-690.4191598942529	2.1	2.1	sagittal
1	304.65296074970024	15.242419232219603	-676.6668731554519	2.1	2.1	sagittal
1	307.7934038251839	28.726841252170114	-679.2360711165751	2.1	2.1	sagittal
1	297.1874233055454	19.347597492317217	-652.8408925870416	2.1	2.1	sagittal
1	295.1336652719155	18.553738863485982	-669.0377618377905	2.1	2.1	sagittal
1	278.62001887256895	25.83218515627679	-635.3845966999323	2.1	2.1	sagittal
1	293.79647458040836	38.83859992026721	-629.332831124	2.1	2.1	sagittal
1	286.86389881797544	42.938583894765735	-617.3447413953644	2.1	2.1	sagittal
1	280.8059120645797	58.72807186615496	-605.7262218755981	2.1	2.1	sagittal
1	273.5318966539333	35.113707845440935	-616.775044031225	2.1	2.1	sagittal
1	249.87696307531425	32.943152135035774	-583.6681395979979	2.1	2.1	sagittal
