frame	x [nm]	y [nm]	z [nm]	uncertainty_xy	uncertainty_z
1	0.4843820973826235	0.016382299893197574	-0.8098861791006136	2.1	2.1
1	0.4896754095331855	0.007150383240020493	-0.8417565799401555	2.1	2.1
1	0.49496872168374745	-0.002081533413156575	-0.8736269807796974	2.1	2.1
1	0.5002620338343094	-0.011313450066333663	-0.9054973816192393	2.1	2.1
1	0.5055553459848714	-0.020545366719510752	-0.9373677824587812	2.1	2.1
1	0.5108486581354333	-0.029777283372687827	-0.9692381832983231	2.1	2.1
1	0.4630983485476557	0.05331494142034656	-0.6400305226716695	2.1	2.1
1	0.4787572845339019	0.025629141289696657	-0.6508936190487421	2.1	2.1
1	0.49441622052014805	-0.0020566588409532544	-0.6617567154258146	2.1	2.1
1	0.5100751565063942	-0.02974245897160316	-0.6726198118028872	2.1	2.1
1	0.5257340924926404	-0.057428259102253076	-0.6834829081799598	2.1	2.1
1	0.5413930284788866	-0.08511405923290298	-0.6943460045570324	2.1	2.1
1	0.5570519644651327	-0.1127998593635529	-0.705209100934105	2.1	2.1
1	0.5727109004513788	-0.14048565949420277	-0.7160721973111777	2.1	2.1
1	0.5883698364376251	-0.1681714596248527	-0.7269352936882502	2.1	2.1
1	0.6040287724238712	-0.1958572597555026	-0.7377983900653228	2.1	2.1
1	0.4713654905818341	0.06465088825206586	-0.6302511041574045	2.1	2.1
1	0.503558710636437	0.05963698178485456	-0.6215553635059472	2.1	2.1
1	0.5357519306910399	0.054623075317643266	-0.6128596228544898	2.1	2.1
1	0.5679451507456429	0.04960916885043197	-0.6041638822030324	2.1	2.1
1	0.6001383708002458	0.04459526238322067	-0.5954681415515751	2.1	2.1
1	0.6323315908548487	0.039581355916009364	-0.5867724009001177	2.1	2.1
1	0.6645248109094516	0.03456744944879807	-0.5780766602486604	2.1	2.1
1	0.6967180309640546	0.029553542981586772	-0.569380919597203	2.1	2.1
1	0.7289112510186575	0.024539636514375476	-0.5606851789457457	2.1	2.1
1	0.7611044710732604	0.01952573004716418	-0.5519894382942884	2.1	2.1
1	0.5044609452204288	0.2092261135331613	-0.37122123785137534	2.1	2.1
1	0.523552351176921	0.2156980095756085	-0.3968865677395943	2.1	2.1
1	0.5426437571334132	0.2221699056180557	-0.42255189762781326	2.1	2.1
1	0.5617351630899052	0.2286418016605029	-0.4482172275160322	2.1	2.1
1	0.5808265690463974	0.2351136977029501	-0.4738825574042511	2.1	2.1
1	0.5999179750028896	0.2415855937453973	-0.49954788729247007	2.1	2.1
1	0.6190093809593816	0.24805748978784448	-0.525213217180689	2.1	2.1
1	0.6381007869158738	0.25452938583029167	-0.5508785470689079	2.1	2.1
1	0.6571921928723659	0.26100128187273886	-0.5765438769571269	2.1	2.1
1	0.676283598828858	0.26747317791518604	-0.6022092068453458	2.1	2.1
1	0.6953750047853502	0.27394507395763323	-0.6278745367335647	2.1	2.1
1	0.7144664107418424	0.2804169700000804	-0.6535398666217838	2.1	2.1
1	0.7335578166983344	0.2868888660425276	-0.6792051965100028	2.1	2.1
1	0.5066771521946153	0.19811635764950525	-0.36627411436815316	2.1	2.1
1	0.5302009720994801	0.1823687419246403	-0.3820451972899276	2.1	2.1
1	0.5537247920043451	0.16662112619977537	-0.3978162802117021	2.1	2.1
1	0.5772486119092101	0.15087351047491046	-0.4135873631334766	2.1	2.1
1	0.6007724318140749	0.13512589475004552	-0.4293584460552511	2.1	2.1
1	0.6242962517189399	0.1193782790251806	-0.4451295289770255	2.1	2.1
1	0.6478200716238047	0.10363066330031567	-0.4609006118988	2.1	2.1
1	0.6713438915286697	0.08788304757545073	-0.4766716948205745	2.1	2.1
1	0.6948677114335347	0.0721354318505858	-0.492442777742349	2.1	2.1
1	0.7183915313383995	0.056387816125720885	-0.5082138606641234	2.1	2.1
1	0.7419153512432645	0.04064020040085595	-0.523984943585898	2.1	2.1
1	0.7654391711481294	0.02489258467599101	-0.5397560265076724	2.1	2.1
1	0.4995239513473749	0.22006896509933732	-0.36583988244773497	2.1	2.1
1	0.5087413695577591	0.24822656427413656	-0.38074250152867306	2.1	2.1
1	0.5179587877681432	0.2763841634489358	-0.3956451206096112	2.1	2.1
1	0.5271762059785274	0.304541762623735	-0.4105477396905493	2.1	2.1
1	0.5363936241889116	0.3326993617985342	-0.42545035877148746	2.1	2.1
1	0.5456110423992958	0.3608569609733334	-0.44035297785242555	2.1	2.1
1	0.5548284606096799	0.3890145601481327	-0.4552555969333637	2.1	2.1
1	0.5640458788200641	0.41717215932293195	-0.4701582160143018	2.1	2.1
1	0.5732632970304483	0.44532975849773115	-0.48506083509523995	2.1	2.1
1	0.5824807152408324	0.47348735767253036	-0.49996345417617805	2.1	2.1
1	0.5916981334512166	0.5016449568473296	-0.5148660732571162	2.1	2.1
1	0.6009155516616008	0.5298025560221289	-0.5297686923380543	2.1	2.1
1	0.507730529639353	0.19677789341203203	-0.35506964716841927	2.1	2.1
1	0.5333611044336932	0.17835334921222068	-0.348431795690726	2.1	2.1
1	0.5589916792280336	0.1599288050124093	-0.3417939442130328	2.1	2.1
1	0.5846222540223739	0.14150426081259793	-0.3351560927353395	2.1	2.1
1	0.6102528288167142	0.12307971661278656	-0.3285182412576462	2.1	2.1
1	0.6358834036110546	0.1046551724129752	-0.321880389779953	2.1	2.1
1	0.6615139784053948	0.08623062821316382	-0.31524253830225973	2.1	2.1
1	0.6871445531997351	0.06780608401335247	-0.3086046868245665	2.1	2.1
1	0.7127751279940755	0.0493815398135411	-0.3019668353468732	2.1	2.1
1	0.7384057027884158	0.03095699561372972	-0.29532898386917994	2.1	2.1
1	0.764036277582756	0.012532451413918372	-0.2886911323914867	2.1	2.1
1	0.5052990680836232	0.21027683850096224	-0.3469297259825763	2.1	2.1
1	0.5260667197665041	0.2188501844790113	-0.3240120321331972	2.1	2.1
1	0.5468343714493848	0.22742353045706037	-0.30109433828381804	2.1	2.1
1	0.5676020231322657	0.23599687643510942	-0.2781766444344389	2.1	2.1
1	0.5883696748151466	0.24457022241315848	-0.25525895058505976	2.1	2.1
1	0.6091373264980274	0.25314356839120755	-0.23234125673568065	2.1	2.1
1	0.6299049781809083	0.2617169143692566	-0.2094235628863015	2.1	2.1
1	0.650672629863789	0.2702902603473057	-0.1865058690369224	2.1	2.1
1	0.6714402815466699	0.27886360632535473	-0.16358817518754326	2.1	2.1
1	0.6922079332295508	0.2874369523034038	-0.14067048133816412	2.1	2.1
