frame	x [nm]	y [nm]	z [nm]	uncertainty_xy	uncertainty_z	segment
1	517.2137068877101	-45.129568463658856	-973.3092476659409	2.1	2.1	apical
1	600.6390833918068	240.34697479256684	-956.0330595211913	2.1	2.1	apical
1	619.520551877595	258.83220501040597	-944.7229787050172	2.1	2.1	apical
1	720.8492100660568	295.91276960528086	-677.0831569741363	2.1	2.1	apical
1	598.141738148465	-203.4435205568345	-754.6830501071339	2.1	2.1	apical
1	491.5225201940789	-47.19223436847804	-973.3258572110466	2.1	2.1	apical
1	785.2740119793461	27.152518465802242	-546.4778194685836	2.1	2.1	apical
1	606.3019945250353	-232.47559269415848	-716.751338608054	2.1	2.1	apical
1	735.8397254293774	290.48148224114846	-698.0940469209419	2.1	2.1	apical
1	780.4631794020124	-9.340457248146617	-559.770211000537	2.1	2.1	apical
1	768.1156073619036	27.927893733440378	-544.9795653020511	2.1	2.1	apical
1	756.2353999795362	281.1606596825372	-697.3144423428266	2.1	2.1	apical
1	775.7681861954744	-12.088010113793187	-288.64160781920964	2.1	2.1	apical
1	772.2225387046068	14.73529871369696	-539.1221138180638	2.1	2.1	apical
1	754.8035337855007	288.76850384369664	-684.2478014232499	2.1	2.1	apical
1	599.5117625606881	548.9689701012339	-549.8156210206575	2.1	2.1	apical
1	722.065822535561	305.8255283315474	-120.936313028207	2.1	2.1	apical
1	768.7310939687582	-1.5877917192134752	-287.8842918458365	2.1	2.1	apical
1	582.6055428447218	530.7841107488006	-281.3844671518899	2.1	2.1	apical
1	703.9451981286958	283.5894933942397	-95.74289925640684	2.1	2.1	apical
1	608.2921917138473	543.627616890658	-536.8088227473133	2.1	2.1	apical
1	574.5590597573299	551.9202847127483	-273.1380457885795	2.1	2.1	apical
1	788.5559745934789	8.48765178478395	-290.0658375998651	2.1	2.1	apical
1	716.0946955300395	306.5790914455832	-116.39007823599081	2.1	2.1	apical
1	676.2851583208352	-284.2591596874565	-128.6937058183114	2.1	2.1	apical
1	771.2938161705014	14.480151327593658	-290.0941437909172	2.1	2.1	apical
1	732.2682325652336	313.71835919756427	-119.99548869656225	2.1	2.1	apical
1	697.8641196688052	287.9120094470006	145.1847519478198	2.1	2.1	apical
1	693.4101391046269	-282.7511673221142	128.498084154285	2.1	2.1	apical
1	711.7471441030493	-260.5137297522996	-128.45582595314053	2.1	2.1	apical
1	725.0181736148227	-1.8010408202569002	313.3319114905518	2.1	2.1	apical
1	699.6928817273441	-295.0610554651827	121.22190573497969	2.1	2.1	apical
1	702.4894938935864	281.0661453232101	156.34865507058015	2.1	2.1	apical
1	748.0805334945344	13.460070485388172	291.16888860533794	2.1	2.1	apical
1	739.8181732201417	11.86007067209551	325.77593968259083	2.1	2.1	apical
1	704.449296637341	299.1081615576432	158.39522219975998	2.1	2.1	apical
1	725.9350021710812	3.2177129214003823	575.8534633419665	2.1	2.1	apical
1	762.0322597539517	2.2851209815631766	310.4669663227791	2.1	2.1	apical
1	705.8051419199795	300.3510553920569	147.68060149168124	2.1	2.1	apical
1	519.2937987734759	527.0042529686564	313.56079210247026	2.1	2.1	apical
1	603.543241415219	279.9435805684545	753.2582258765324	2.1	2.1	apical
