frame	x [nm]	y [nm]	z [nm]	uncertainty_xy	uncertainty_z	segment
1	258.0105980539763	135.1386570309835	-509.4120738071019	2.1	2.1	basal
1	270.87558662813404	111.70848736737993	-486.77484812669917	2.1	2.1	basal
1	256.84618316348457	111.44423731594236	-507.8389347128549	2.1	2.1	basal
1	256.86892747281587	125.57200275270273	-484.34584727269424	2.1	2.1	basal
1	259.6072845005435	122.56099715226401	-500.8909040257332	2.1	2.1	basal
1	258.96569017118003	124.06241396460487	-505.0914499705395	2.1	2.1	basal
1	262.890626706366	144.51560238511593	-521.9693935738236	2.1	2.1	basal
1	267.6451514209432	119.4563905984329	-497.3615554624905	2.1	2.1	basal
1	265.7684296561387	113.65773900459148	-508.6635025766368	2.1	2.1	basal
1	262.18671200006963	125.25746252787842	-498.88944266445037	2.1	2.1	basal
1	276.4836499543751	127.46661169112764	-499.11153631366943	2.1	2.1	basal
1	234.26341649134804	126.56527897827296	-479.000489799529	2.1	2.1	basal
1	251.03018139910742	114.28243225109337	-515.455428172949	2.1	2.1	basal
1	266.96961627895087	133.06720115502307	-498.2304028105752	2.1	2.1	basal
1	246.65328752386426	129.53195402689005	-505.01567067465123	2.1	2.1	basal
1	262.87349948811425	125.62815755239515	-524.5829948633934	2.1	2.1	basal
1	238.3091170111279	126.96588330574149	-507.354845245008	2.1	2.1	basal
1	263.51210021619903	134.96473363886724	-502.9042086115704	2.1	2.1	basal
1	247.6031247828432	119.16066124221726	-509.4605251028858	2.1	2.1	basal
1	256.27764062457	118.3022524067507	-518.8096337943932	2.1	2.1	basal
1	251.4963294540053	122.32750477783614	-512.7787262276593	2.1	2.1	basal
1	258.6359418981342	112.8933046983332	-508.0440397306431	2.1	2.1	basal
1	265.53781419146026	111.92359757491764	-510.9358843884446	2.1	2.1	basal
1	246.2021158895358	114.81080609490975	-520.2870884307705	2.1	2.1	basal
1	234.8594202323429	141.41452375863562	-530.3506957882452	2.1	2.1	basal
1	237.59455191734958	132.2803329264255	-507.44602392690183	2.1	2.1	basal
1	262.89366220158837	134.8970746993794	-506.919324328833	2.1	2.1	basal
1	225.11326509387803	119.88317484774565	-527.116932038037	2.1	2.1	basal
1	253.6453438867194	118.60066075672965	-519.289072498563	2.1	2.1	basal
1	240.44027652016183	131.50349345101293	-503.49441514353066	2.1	2.1	basal
1	244.15282525989494	104.57809133939537	-519.8221432372081	2.1	2.1	basal
1	248.73052186441242	132.33967680054587	-529.8990228509026	2.1	2.1	basal
